cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx
1,0.0393138494311381,0.0405349565485881,0.969875208426923,0.3321087959647,1,1894.5,-0.04013466540409457,0.11876236426637075,,1894
2,-0.0258879520439642,0.0206170470209423,-1.25565761273512,0.209240254826578,2,1899.5,-0.0662973642050111,0.0145214601170827,,1900
3,-0.00976480497857096,0.0145760318324421,-0.66992203988175,0.502907553057701,3,1904.5,-0.03833382737015747,0.01880421741301555,,1904
4,-0.0737096136350494,0.010831050844283,-6.80539817371054,1.0079344925551099e-11,4,1909.5,-0.09493847328984407,-0.05248075398025471,***,1910
5,-0.089933241495799,0.00844184353509531,-10.6532703575847,1.68573227783738e-26,5,1914.5,-0.1064792548245858,-0.0733872281670122,***,1914
6,-0.056458660773328,0.00725922959767086,-7.77750035505736,7.40004815357393e-15,6,1919.5,-0.07068675078476289,-0.04223057076189311,***,1920
7,-0.037893656623735,0.00630616684510291,-6.00898415067492,1.8671592880292e-9,7,1924.5,-0.0502537436401367,-0.02553356960733329,***,1924
8,0.00175385172402289,0.00609621737801583,0.287695076351382,0.773580183927545,8,1929.5,-0.01019473433688813,0.01370243778493391,,1930
9,0.0317477091662997,0.0055958177440633,5.67347090601394,1.39948792466864e-8,9,1934.5,0.02077990638793563,0.04271551194466377,***,1934
10,0.0653185926705085,0.00499288882464552,13.0823246750634,4.16810157183348e-39,10,1939.5,0.05553253057420328,0.07510465476681372,***,1940
11,0.0673228563633823,0.00429198274956022,15.685723893061,1.90590835776895e-55,11,1944.5,0.05891057017424427,0.07573514255252033,***,1944
12,0.0659708702931982,0.00385522839452078,17.1120523979744,1.2175373303766401e-65,12,1949.5,0.05841462263993748,0.07352711794645893,***,1950
13,0.0317615546844399,0.00359506858242683,8.83475626576208,1.00381583482649e-18,13,1954.5,0.02471522026288331,0.03880788910599649,***,1954
14,0.015506921110445,0.00350564283766746,4.42341728136881,9.71560724499938e-6,14,1959.5,0.00863586114861678,0.02237798107227322,***,1960
15,-0.00725058663320619,0.00359131155405482,-2.01892443027389,0.0434951847736829,15,1964.5,-0.01428955727915363,-2.116159872587427e-4,*,1964
16,-0.0233182879505498,0.00392037992410833,-5.94796637110456,2.7153146664083703e-9,16,1969.5,-0.03100223260180212,-0.01563434329929747,***,1970
17,-0.0261301054416454,0.00426956744214062,-6.12008260690331,9.35411481332767e-10,17,1974.5,-0.03449845762824102,-0.01776175325504978,***,1974
18,-0.0501717129352658,0.00454288065838946,-11.0440305850017,2.3464936795537892e-28,18,1979.5,-0.05907575902570915,-0.04126766684482245,***,1980
19,-0.0423702466625502,0.00505885008338873,-8.37546991196228,5.50327502486387e-17,19,1984.5,-0.05228559282599211,-0.03245490049910829,***,1984
20,-0.0612226216806012,0.00590138480122922,-10.374280570189,3.2504481491829396e-25,20,1989.5,-0.07278933589101047,-0.04965590747019192,***,1990
21,-0.0457627281320114,0.00776789287769054,-5.89126663466774,3.83297065478712e-9,21,1994.5,-0.06098779817228485,-0.03053765809173794,***,1994
22,-0.0488724457671092,0.0114219819897644,-4.27880606105888,1.87905702210223e-5,22,1999.5,-0.07125953046704743,-0.02648536106717098,***,2000
