cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx
1,-0.172315180389341,0.0406741094701206,-4.2364831740428,2.27352859642524e-5,1,1924.5,-0.2520364349507774,-0.0925939258279046,***,1924
2,-0.104409630574328,0.0302677100381945,-3.44953848317479,5.61893419389371e-4,2,1929.5,-0.16373434224918923,-0.04508491889946679,***,1930
3,-0.0271703915276572,0.0244538929484316,-1.11108654908052,0.266535111253577,3,1934.5,-0.07510002170658313,0.02075923865126873,,1934
4,0.00605621417339382,0.0205474379586683,0.294743032468381,0.768191106877892,4,1939.5,-0.03421676422559604,0.04632919257238368,,1940
5,0.0609395207337744,0.0191577249995015,3.18093723212751,0.00146866763354843,5,1944.3,0.02339037973475145,0.09848866173279734,**,1944
6,0.0467643282618356,0.017384463677916,2.69000695841091,0.00714683501955856,6,1949.3,0.01269077945312024,0.08083787707055096,**,1949
7,0.0395911417315518,0.0166042749260931,2.3843944952595,0.017110036766972,7,1954.3,0.00704676287640932,0.07213552058669429,*,1954
8,0.0015267772987494,0.0158517508979593,0.096316003738486,0.923269891056321,8,1959.3,-0.02954265446125082,0.03259620905874962,,1959
9,-0.0175289017641391,0.016831170662054,-1.04145469831508,0.297668351153495,9,1964.3,-0.05051799626176494,0.01546019273348674,,1964
10,0.0150147888244691,0.0158716276833149,0.946014430533389,0.344144660765329,10,1969.3,-0.0160936014348281,0.04612317908376631,,1969
11,-0.0181851856277086,0.0169840518819078,-1.07072127158775,0.284298658476965,11,1974.3,-0.05147392731624788,0.01510355606083068,,1974
12,-0.0111394981552221,0.0152591150095457,-0.730022556894917,0.465378966341575,12,1979.3,-0.04104736357393167,0.01876836726348747,,1979
13,-0.00147776506166105,0.0175932308411228,-0.0839962298571613,0.93305968196476,13,1984.25,-0.03596049751026174,0.03300496738693963,,1984
14,-0.0554396863292063,0.0191146951830307,-2.900369888107,0.00372844508993695,14,1989.1666666666667,-0.09290448888794647,-0.01797488377046613,**,1989
15,-0.032279686309516,0.0297416727393555,-1.08533526652662,0.277777123144996,15,1994,-0.09057336487865278,0.02601399225962078,,1994
16,0.0902953947641359,0.0490330166511674,1.8415223237542,0.0655494996946381,16,1998.5,-0.00580931787215222,0.186400107400424,.,1998
